session_id,attempt,arm,capacity,run_id,device,event_key,validator_rebuild,validator_semantic_identical,event_reports_semantic_identical,generated_events,action_mix,evidence_kind_mix,local_required,local_received,evidence_required,evidence_transfer_complete,core_required,core_inference_complete,core_result_received,core_result_on_time,core_result_on_time_correct,tp,tn,fp,fn,scored,unscored,states,payload_generated_bytes,application_payload_sent_bytes,unique_payload_received_bytes,duplicate_wire_bytes,protocol_framing_bytes,frozen_contract_valid,segment_reconstruction_valid
F12_S05,a01,E,mid,F12_S05_E_mid_a01,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,84,84,215,55,0,0,270,0,"{""terminal_success_late"":6,""terminal_success_timely"":264}",14745600,14745600,14745600,0,607406,true,true
F12_S05,a01,F,mid,F12_S05_F_mid_a01,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,72,72,215,55,0,0,270,0,"{""terminal_success_late"":18,""terminal_success_timely"":252}",14745600,14745600,14745600,0,607406,true,true
F12_S05,a01,D,mid,F12_S05_D_mid_a01,,,PASS,true,true,270,"{""H_FULL"":135,""H_NONE"":135}","{""full"":135,""none"":135}",135,135,135,135,135,135,135,0,0,215,55,0,0,270,0,"{""terminal_success_late"":135,""terminal_success_timely"":135}",17694720,17694720,17694720,0,394470,true,true
F12_S05,a01,A,mid,F12_S05_A_mid_a01,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,215,55,0,0,270,0,"{""terminal_success_timely"":270}",0,0,0,0,96452,true,true
F12_S05,a01,C,mid,F12_S05_C_mid_a01,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,0,0,215,55,0,0,270,0,"{""terminal_success_late"":270}",35389440,35389440,35389440,0,555012,true,true
F12_S05,a01,B,mid,F12_S05_B_mid_a01,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,215,55,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607504,true,true
F12_S05,a01,E,high,F12_S05_E_high_a01,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,260,260,215,55,0,0,270,0,"{""terminal_success_late"":10,""terminal_success_timely"":260}",35389440,35389440,35389440,0,608831,true,true
F12_S05,a01,F,high,F12_S05_F_high_a01,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,260,260,215,55,0,0,270,0,"{""terminal_success_late"":10,""terminal_success_timely"":260}",35389440,35389440,35389440,0,608871,true,true
F12_S05,a01,D,high,F12_S05_D_high_a01,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,266,266,215,55,0,0,270,0,"{""terminal_success_late"":4,""terminal_success_timely"":266}",35389440,35389440,35389440,0,609011,true,true
F12_S05,a01,A,high,F12_S05_A_high_a01,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,215,55,0,0,270,0,"{""terminal_success_timely"":270}",0,0,0,0,96722,true,true
